id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
45iVzFsXpjUuiBw0Dhc_Qg,seoul-tofu-and-jjim-seattle,Seoul Tofu & Jjim,https://s3-media4.fl.yelpcdn.com/bphoto/2GgYXM0cSucfbLqJsef8Kw/o.jpg,False,https://www.yelp.com/biz/seoul-tofu-and-jjim-seattle?adjust_creative=a5yMeDpWE9LL5HYs7UrXfg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=a5yMeDpWE9LL5HYs7UrXfg,132,"[{'alias': 'korean', 'title': 'Korean'}]",5.0,"{'latitude': 47.62224, 'longitude': -122.32064}","['delivery', 'pickup']",$$,"{'address1': '406 Broadway E', 'address2': None, 'address3': '', 'city': 'Seattle', 'zip_code': '98102', 'country': 'US', 'state': 'WA', 'display_address': ['406 Broadway E', 'Seattle, WA 98102']}",+12062575642,(206) 257-5642,1130.2390242084064
h1Q0Wkx5TUUZeVjJrXTwmQ,chan-seattle-seattle-2,Chan Seattle,https://s3-media2.fl.yelpcdn.com/bphoto/C5Iry3TBITggXt1MiW5tOA/o.jpg,False,https://www.yelp.com/biz/chan-seattle-seattle-2?adjust_creative=a5yMeDpWE9LL5HYs7UrXfg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=a5yMeDpWE9LL5HYs7UrXfg,982,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 47.61312322818342, 'longitude': -122.33342174292778}",['delivery'],$$,"{'address1': '724 Pine St', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98101', 'country': 'US', 'state': 'WA', 'display_address': ['724 Pine St', 'Seattle, WA 98101']}",+14256582626,(425) 658-2626,287.36724366843384
ZHMHUTDxXhufLU-iFSNntg,hanok-seattle-2,Hanok,https://s3-media1.fl.yelpcdn.com/bphoto/j8YCeJOrP6jYCUf2RP4Wqg/o.jpg,False,https://www.yelp.com/biz/hanok-seattle-2?adjust_creative=a5yMeDpWE9LL5HYs7UrXfg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=a5yMeDpWE9LL5HYs7UrXfg,140,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,"{'latitude': 47.63383, 'longitude': -122.28028}",['delivery'],$$,"{'address1': '4021 E Madison St', 'address2': '', 'address3': None, 'city': 'Seattle', 'zip_code': '98112', 'country': 'US', 'state': 'WA', 'display_address': ['4021 E Madison St', 'Seattle, WA 98112']}",+12064023847,(206) 402-3847,4311.826008288173
nUkPOJ5p4E9U7e2DbOzzMw,meet-korean-bbq-seattle,Meet Korean BBQ,https://s3-media3.fl.yelpcdn.com/bphoto/UwvDMA7r9nHdzDLAqMfbow/o.jpg,False,https://www.yelp.com/biz/meet-korean-bbq-seattle?adjust_creative=a5yMeDpWE9LL5HYs7UrXfg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=a5yMeDpWE9LL5HYs7UrXfg,313,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'korean', 'title': 'Korean'}]",4.5,"{'latitude': 47.614352, 'longitude': -122.325214}","['delivery', 'pickup']",$$$$,"{'address1': '500 E Pike St', 'address2': None, 'address3': None, 'city': 'Seattle', 'zip_code': '98122', 'country': 'US', 'state': 'WA', 'display_address': ['500 E Pike St', 'Seattle, WA 98122']}",+12066952621,(206) 695-2621,361.54403133909693
zIczxp6kS-2kyV937xBnAA,stone-korean-restaurant-seattle-2,Stone Korean Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/pZbb_46KNJbobQGC-FpepA/o.jpg,False,https://www.yelp.com/biz/stone-korean-restaurant-seattle-2?adjust_creative=a5yMeDpWE9LL5HYs7UrXfg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=a5yMeDpWE9LL5HYs7UrXfg,246,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.0,"{'latitude': 47.62729, 'longitude': -122.34209}","['delivery', 'pickup']",$$,"{'address1': '900 Dexter Ave N', 'address2': '', 'address3': None, 'city': 'Seattle', 'zip_code': '98109', 'country': 'US', 'state': 'WA', 'display_address': ['900 Dexter Ave N', 'Seattle, WA 98109']}",+12067172864,(206) 717-2864,1701.7155911950535
6P0qDI8wBJd_oM9M7eKXoQ,gangnam-seattle-seattle,Gangnam Seattle,https://s3-media4.fl.yelpcdn.com/bphoto/vlnETfNVb1UlYkChFUMPtQ/o.jpg,False,https://www.yelp.com/biz/gangnam-seattle-seattle?adjust_creative=a5yMeDpWE9LL5HYs7UrXfg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=a5yMeDpWE9LL5HYs7UrXfg,40,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",4.5,"{'latitude': 47.59784, 'longitude': -122.32601}","['delivery', 'pickup']",,"{'address1': '516 6th Ave S', 'address2': None, 'address3': '', 'city': 'Seattle', 'zip_code': '98104', 'country': 'US', 'state': 'WA', 'display_address': ['516 6th Ave S', 'Seattle, WA 98104']}",+12066241318,(206) 624-1318,1854.482061603645
Sat22mBeAXdTgpKEH1KFMw,haenam-kalbi-and-calamari-shoreline,Haenam Kalbi & Calamari,https://s3-media2.fl.yelpcdn.com/bphoto/C51lSF-_RVp5fjTt2pULiw/o.jpg,False,https://www.yelp.com/biz/haenam-kalbi-and-calamari-shoreline?adjust_creative=a5yMeDpWE9LL5HYs7UrXfg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=a5yMeDpWE9LL5HYs7UrXfg,345,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'hotpot', 'title': 'Hot Pot'}]",4.0,"{'latitude': 47.7379352, 'longitude': -122.34561446070914}",['delivery'],$$,"{'address1': '15001 Aurora Ave N', 'address2': '', 'address3': '', 'city': 'Shoreline', 'zip_code': '98133', 'country': 'US', 'state': 'WA', 'display_address': ['15001 Aurora Ave N', 'Shoreline, WA 98133']}",+12063677843,(206) 367-7843,13795.865745894955
JHwQbu8jb9RQgI4e_-Yhmw,korea-house-bothell-2,Korea House,https://s3-media4.fl.yelpcdn.com/bphoto/5WJUYtYwr-JFHIWxca8ElA/o.jpg,False,https://www.yelp.com/biz/korea-house-bothell-2?adjust_creative=a5yMeDpWE9LL5HYs7UrXfg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=a5yMeDpWE9LL5HYs7UrXfg,751,"[{'alias': 'korean', 'title': 'Korean'}]",4.5,"{'latitude': 47.811443, 'longitude': -122.205654}","['delivery', 'pickup']",$$,"{'address1': '20615 Bothell Everett Hwy', 'address2': 'Ste B', 'address3': '', 'city': 'Bothell', 'zip_code': '98012', 'country': 'US', 'state': 'WA', 'display_address': ['20615 Bothell Everett Hwy', 'Ste B', 'Bothell, WA 98012']}",+14254868866,(425) 486-8866,23823.25988522986
f9cpxpxn6xN_c3ZnXdeqUA,paju-seattle-2,Paju,https://s3-media2.fl.yelpcdn.com/bphoto/9S1f_RerM06NtvB-SUKGhw/o.jpg,False,https://www.yelp.com/biz/paju-seattle-2?adjust_creative=a5yMeDpWE9LL5HYs7UrXfg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=a5yMeDpWE9LL5HYs7UrXfg,268,"[{'alias': 'korean', 'title': 'Korean'}]",4.5,"{'latitude': 47.624406, 'longitude': -122.356151}",[],$$,"{'address1': '11 Mercer St', 'address2': None, 'address3': '', 'city': 'Seattle', 'zip_code': '98109', 'country': 'US', 'state': 'WA', 'display_address': ['11 Mercer St', 'Seattle, WA 98109']}",+12068298215,(206) 829-8215,2257.7968910037207
FW0AJpVxlvOwYE-87v3Ocg,korean-bamboo-seattle-3,Korean Bamboo,https://s3-media1.fl.yelpcdn.com/bphoto/6kfG77iVg0R-3IXocrRq3g/o.jpg,False,https://www.yelp.com/biz/korean-bamboo-seattle-3?adjust_creative=a5yMeDpWE9LL5HYs7UrXfg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=a5yMeDpWE9LL5HYs7UrXfg,430,"[{'alias': 'korean', 'title': 'Korean'}]",4.0,"{'latitude': 47.61479, 'longitude': -122.34435}","['delivery', 'pickup']",$$,"{'address1': '2236 3rd Ave', 'address2': '', 'address3': None, 'city': 'Seattle', 'zip_code': '98121', 'country': 'US', 'state': 'WA', 'display_address': ['2236 3rd Ave', 'Seattle, WA 98121']}",+12064439898,(206) 443-9898,1084.6433513718605
